Date,Open,High,Low,Close,Volume
2023-04-06 04:00:00+00:00,406.77,409.48,405.678,409.19,63743345.0
2023-04-10 04:00:00+00:00,406.61,409.69,405.97,409.61,63681042.0
2023-04-11 04:00:00+00:00,410.26,411.18,408.92,409.72,59297945.0
2023-04-12 04:00:00+00:00,411.87,412.17,407.44,408.05,86420379.0
2023-04-13 04:00:00+00:00,409.18,413.84,407.9922,413.47,85814754.0
2023-04-14 04:00:00+00:00,412.81,415.09,410.06,412.46,78135828.0
2023-04-17 04:00:00+00:00,412.37,413.96,411.085,413.94,66424139.0
2023-04-18 04:00:00+00:00,415.58,415.72,412.7802,414.21,63559997.0
2023-04-19 04:00:00+00:00,412.22,415.08,412.16,414.14,55227330.0
2023-04-20 04:00:00+00:00,411.21,413.7,410.27,411.88,75840359.0
2023-04-21 04:00:00+00:00,412.19,412.68,410.17,412.2,73434638.0
2023-04-24 04:00:00+00:00,411.99,413.07,410.6,412.63,64332095.0
2023-04-25 04:00:00+00:00,410.58,411.16,406.02,406.08,97766721.0
2023-04-26 04:00:00+00:00,406.72,407.84,403.78,404.36,80447049.0
2023-04-27 04:00:00+00:00,407.0,412.69,406.74,412.41,92968369.0
2023-04-28 04:00:00+00:00,411.49,415.94,411.43,415.93,89312589.0
2023-05-01 04:00:00+00:00,415.47,417.62,415.265,415.51,62122254.0
2023-05-02 04:00:00+00:00,414.77,414.82,407.82,410.84,103998484.0
2023-05-03 04:00:00+00:00,411.36,413.87,407.77,408.02,91531769.0
2023-05-04 04:00:00+00:00,406.93,407.27,403.74,405.13,94901863.0
2023-05-05 04:00:00+00:00,408.91,413.72,408.64,412.63,87832433.0
2023-05-08 04:00:00+00:00,412.97,413.24,411.28,412.74,50046768.0
2023-05-09 04:00:00+00:00,411.13,412.09,410.6894,410.93,49220119.0
2023-05-10 04:00:00+00:00,413.88,414.535,408.87,412.85,96142922.0
2023-05-11 04:00:00+00:00,411.95,412.43,409.97,412.13,70157064.0
2023-05-12 04:00:00+00:00,413.42,413.64,409.07,411.59,70441226.0
2023-05-15 04:00:00+00:00,412.22,413.43,410.23,413.01,54289383.0
2023-05-16 04:00:00+00:00,411.86,412.815,410.24,410.25,57705495.0
2023-05-17 04:00:00+00:00,412.35,415.855,410.635,415.23,87286957.0
2023-05-18 04:00:00+00:00,414.9,419.67,414.67,419.23,97177195.0
2023-05-19 04:00:00+00:00,420.17,420.72,417.35,418.62,103625186.0
2023-05-22 04:00:00+00:00,418.64,420.39,417.35,418.79,60745399.0
2023-05-23 04:00:00+00:00,417.08,418.722,413.68,414.09,86383493.0
2023-05-24 04:00:00+00:00,412.42,412.82,409.8795,411.09,89213678.0
2023-05-25 04:00:00+00:00,414.74,416.16,412.4101,414.65,90961606.0
2023-05-26 04:00:00+00:00,415.33,420.77,415.25,420.02,93687752.0
2023-05-30 04:00:00+00:00,422.03,422.58,418.735,420.18,72215960.0
